name,type,aware,skill,access,hours_start,hours_end,User,patch,ports,VLAN,AV,Filtering,Data_Value,Repair_Value,Network,Malware,Target_Level,Status
user01,User,95,,30,09:00,18:00,,,,,,,,,,,,
user02,User,93,,35,08:00,19:00,,,,,,,,,,,,
user03,User,92,,40,07:00,17:30,,,,,,,,,,,,
user04,User,92,,45,10:00,20:00,,,,,,,,,,,,
user05,User,90,,50,12:00,22:00,,,,,,,,,,,,
user06,User,92,,45,08:30,18:30,,,,,,,,,,,,
user07,User,90,,40,09:30,18:30,,,,,,,,,,,,
user08,User,88,,25,07:30,18:00,,,,,,,,,,,,
firewall01,Firewall,,,,00:00:00,23:59:00,,95,95,"VLAN01, VLAN02, VLAN03, VLAN07, VLAN08, VLAN09",,97,"3,000","8,000",,,,0
firewall02,Firewall,,,,00:00:00,23:59:00,,95,95,"VLAN03, VLAN04",,95,"3,000","8,000",,,,0
firewall03,Firewall,,,,00:00:00,23:59:00,,90,90,"VLAN05, VLAN06, VLAN07",,92,"3,000","8,000",,,,0
server01,Server,,,,00:00:00,23:59:00,,95,98,VLAN02,96,,"75,000","50,000",,,,0
server02,Server,,,,00:00:00,23:59:00,,98,99,VLAN04,98,,"1,000,000","100,000",,,,0
server03,Server,,,,00:00:00,23:59:00,,98,99,VLAN04,98,,"750,000","100,000",,,,0
mob01,Mobile,,,,09:30,18:30,user07,88,,VLAN11,88,,"4,000","3,000",,,,0
mob02,Mobile,,,,09:00,18:00,user01,90,,VLAN06,90,,"20,000","3,000",,,,0
mob03,Mobile,,,,08:00,19:00,user02,85,,VLAN05,87,,"4,000","3,000",,,,0
mob04,Mobile,,,,07:30,18:00,user08,89,,VLAN10,92,,"15,000","5,000",,,,0
PC01,PC,,,,08:30,18:30,user06,90,90,VLAN01,88,,"2,000","4,000",,,,0
PC02,PC,,,,12:00,22:00,user05,93,98,VLAN01,90,,"5,000","4,000",,,,0
PC03,PC,,,,10:00,20:00,user04,93,90,VLAN01,90,,"10,000","4,000",,,,0
PC04,PC,,,,07:00,17:30,user03,88,85,VLAN01,95,,"25,000","4,000",,,,0
Target,Global,,,,,,,,,,,,,,,,30,
ISP01,Internet,,,,,,,,,"VLAN08, VLAN10, VLAN11",,95,,,,,,0
ISP02,Internet,,,,,,,,,"VLAN09, VLAN10, VLAN11",,98,,,,,,0
VLAN01,Network,,,,,,,,,,,,,,5,,,
VLAN02,Network,,,,,,,,,,,,,,5,,,
VLAN03,Network,,,,,,,,,,,,,,5,,,
VLAN04,Network,,,,,,,,,,,,,,5,,,
VLAN05,Network,,,,,,,,,,,,,,2,,,
VLAN06,Network,,,,,,,,,,,,,,3,,,
VLAN07,Network,,,,,,,,,,,,,,5,,,
VLAN08,Network,,,,,,,,,,,,,,5,,,
VLAN09,Network,,,,,,,,,,,,,,5,,,
VLAN10,Network,,,,,,,,,,,,,,4,,,
VLAN11,Network,,,,,,,,,,,,,,4,,,
