name,type,aware,skill,access,hours_start,hours_end,User,patch,ports,VLAN,AV,Filtering,Data_Value,Repair_Value,Network,Malware,Target_Level,Status
user01,User,80,,50,09:00,18:00,,,,,,,,,,,,
user02,User,75,,55,08:00,19:00,,,,,,,,,,,,
user03,User,70,,80,07:00,17:30,,,,,,,,,,,,
user04,User,70,,85,10:00,20:00,,,,,,,,,,,,
user05,User,70,,100,12:00,22:00,,,,,,,,,,,,
user06,User,70,,95,08:30,18:30,,,,,,,,,,,,
user07,User,70,,75,09:30,18:30,,,,,,,,,,,,
user08,User,70,,30,07:30,18:00,,,,,,,,,,,,
user09,User,75,,60,08:00,17:00,,,,,,,,,,,,
user10,User,72,,70,09:00,18:00,,,,,,,,,,,,
user11,User,68,,88,10:30,19:30,,,,,,,,,,,,
user12,User,71,,92,11:00,20:00,,,,,,,,,,,,
firewall01,Firewall,,,,00:00:00,23:59:00,,80,70,"VLAN01, VLAN02, VLAN03, VLAN10, VLAN11, VLAN12",,85,,"2,000",,,,0
firewall02,Firewall,,,,00:00:00,23:59:00,,75,75,"VLAN03, VLAN04, VLAN05",,75,,"2,000",,,,0
firewall03,Firewall,,,,00:00:00,23:59:00,,65,60,"VLAN06, VLAN07, VLAN08",,45,,"2,000",,,,0
firewall04,Firewall,,,,00:00:00,23:59:00,,78,72,"VLAN09, VLAN13",,80,,"2,000",,,,0
server01,Server,,,,00:00:00,23:59:00,,75,80,VLAN02,85,,"50,000","80,000",,,,0
server02,Server,,,,00:00:00,23:59:00,,85,85,VLAN04,85,,"2,000,000","150,000",,,,0
server03,Server,,,,00:00:00,23:59:00,,85,85,VLAN04,85,,"1,500,000","150,000",,,,0
server04,Server,,,,00:00:00,23:59:00,,78,82,VLAN05,82,,"800,000","120,000",,,,0
server05,Server,,,,00:00:00,23:59:00,,76,79,VLAN05,80,,"500,000","100,000",,,,0
server06,Server,,,,00:00:00,23:59:00,,82,86,VLAN07,88,,"1,200,000","140,000",,,,0
server07,Server,,,,00:00:00,23:59:00,,79,83,VLAN07,84,,"900,000","130,000",,,,0
server08,Server,,,,00:00:00,23:59:00,,77,81,VLAN09,83,,"600,000","110,000",,,,0
server09,Server,,,,00:00:00,23:59:00,,74,78,VLAN09,81,,"400,000","95,000",,,,0
server10,Server,,,,00:00:00,23:59:00,,80,84,VLAN02,86,,"1,000,000","135,000",,,,0
server11,Server,,,,00:00:00,23:59:00,,73,77,VLAN04,79,,"350,000","90,000",,,,0
server12,Server,,,,00:00:00,23:59:00,,81,85,VLAN05,87,,"1,100,000","145,000",,,,0
server13,Server,,,,00:00:00,23:59:00,,76,80,VLAN07,82,,"700,000","115,000",,,,0
server14,Server,,,,00:00:00,23:59:00,,78,82,VLAN09,84,,"550,000","105,000",,,,0
server15,Server,,,,00:00:00,23:59:00,,75,79,VLAN13,81,,"450,000","98,000",,,,0
server16,Server,,,,00:00:00,23:59:00,,83,87,VLAN13,89,,"1,300,000","155,000",,,,0
server17,Server,,,,00:00:00,23:59:00,,77,81,VLAN02,83,,"650,000","112,000",,,,0
server18,Server,,,,00:00:00,23:59:00,,79,83,VLAN04,85,,"750,000","125,000",,,,0
server19,Server,,,,00:00:00,23:59:00,,74,78,VLAN05,80,,"300,000","85,000",,,,0
server20,Server,,,,00:00:00,23:59:00,,82,86,VLAN07,88,,"1,250,000","150,000",,,,0
mob01,Mobile,,,,09:30,18:30,user07,70,,VLAN14,70,,"4,000","3,000",,,,0
mob02,Mobile,,,,09:00,18:00,user01,75,,VLAN06,75,,"20,000","3,000",,,,0
mob03,Mobile,,,,08:00,19:00,user02,60,,VLAN08,78,,"4,000","3,000",,,,0
