name,type,aware,skill,access,hours_start,hours_end,User,patch,ports,VLAN,AV,Filtering,Data_Value,Repair_Value,Network,Malware,Target_Level,Status
user01,User,75,,55,09:00,18:00,,,,,,,,,,,,
user02,User,70,,60,08:00,19:00,,,,,,,,,,,,
user03,User,68,,75,09:00,17:30,,,,,,,,,,,,
user04,User,72,,80,10:00,20:00,,,,,,,,,,,,
user05,User,70,,90,12:00,22:00,,,,,,,,,,,,
firewall01,Firewall,,,,00:00:00,23:59:00,,75,68,"VLAN01, VLAN02, VLAN05",,78,,"800",,,,0
firewall02,Firewall,,,,00:00:00,23:59:00,,70,65,"VLAN03, VLAN04",,70,,"800",,,,0
server01,Server,,,,00:00:00,23:59:00,,78,82,VLAN02,83,,"15,000","40,000",,,,0
server02,Server,,,,00:00:00,23:59:00,,82,85,VLAN03,85,,"250,000","70,000",,,,0
server03,Server,,,,00:00:00,23:59:00,,80,83,VLAN03,84,,"180,000","65,000",,,,0
server04,Server,,,,00:00:00,23:59:00,,76,80,VLAN04,81,,"100,000","55,000",,,,0
server05,Server,,,,00:00:00,23:59:00,,74,78,VLAN04,79,,"80,000","50,000",,,,0
mob01,Mobile,,,,09:00,18:00,user01,72,,VLAN06,73,,"3,000","2,500",,,,0
mob02,Mobile,,,,08:00,19:00,user02,68,,VLAN07,70,,"5,000","2,500",,,,0
mob03,Mobile,,,,09:00,17:30,user03,70,,VLAN06,72,,"4,000","2,500",,,,0
PC01,PC,,,,09:00,18:00,user01,76,52,VLAN01,68,,"1,500","1,800",,,,0
PC02,PC,,,,08:00,19:00,user02,74,50,VLAN01,66,,"2,000","1,800",,,,0
PC03,PC,,,,09:00,17:30,user03,78,55,VLAN01,70,,"3,000","1,800",,,,0
PC04,PC,,,,10:00,20:00,user04,80,58,VLAN01,72,,"4,500","1,800",,,,0
PC05,PC,,,,12:00,22:00,user05,82,82,VLAN01,74,,"6,000","1,800",,,,0
Target,Global,,,,,,,,,,,,,,,,50,
ISP01,Internet,,,,,,,,,"VLAN05, VLAN06, VLAN07",,72,,,,,,0
VLAN01,Network,,,,,,,,,,,,,,5,,,
VLAN02,Network,,,,,,,,,,,,,,5,,,
VLAN03,Network,,,,,,,,,,,,,,5,,,
VLAN04,Network,,,,,,,,,,,,,,5,,,
VLAN05,Network,,,,,,,,,,,,,,5,,,
VLAN06,Network,,,,,,,,,,,,,,3,,,
VLAN07,Network,,,,,,,,,,,,,,2,,,
