name,type,aware,skill,access,hours_start,hours_end,User,patch,ports,VLAN,AV,Filtering,Data_Value,Repair_Value,Network,Malware,Target_Level,Status
user01,User,32,,90,09:00,18:00,,,,,,,,,,,,
user02,User,28,,92,08:00,19:00,,,,,,,,,,,,
user03,User,22,,95,07:00,17:30,,,,,,,,,,,,
user04,User,22,,98,10:00,20:00,,,,,,,,,,,,
user05,User,20,,100,12:00,22:00,,,,,,,,,,,,
user06,User,22,,98,08:30,18:30,,,,,,,,,,,,
user07,User,20,,95,09:30,18:30,,,,,,,,,,,,
user08,User,20,,85,07:30,18:00,,,,,,,,,,,,
firewall01,Firewall,,,,00:00:00,23:59:00,,42,40,"VLAN01, VLAN02, VLAN03, VLAN07, VLAN08, VLAN09",,40,"3,000","8,000",,,,0
firewall02,Firewall,,,,00:00:00,23:59:00,,38,45,"VLAN03, VLAN04",,35,"3,000","8,000",,,,0
firewall03,Firewall,,,,00:00:00,23:59:00,,30,35,"VLAN05, VLAN06, VLAN07",,25,"3,000","8,000",,,,0
server01,Server,,,,00:00:00,23:59:00,,35,50,VLAN02,42,,"75,000","50,000",,,,0
server02,Server,,,,00:00:00,23:59:00,,48,55,VLAN04,50,,"1,000,000","100,000",,,,0
server03,Server,,,,00:00:00,23:59:00,,48,55,VLAN04,50,,"750,000","100,000",,,,0
mob01,Mobile,,,,09:30,18:30,user07,30,,VLAN11,32,,"4,000","3,000",,,,0
mob02,Mobile,,,,09:00,18:00,user01,38,,VLAN06,38,,"20,000","3,000",,,,0
mob03,Mobile,,,,08:00,19:00,user02,25,,VLAN05,35,,"4,000","3,000",,,,0
mob04,Mobile,,,,07:30,18:00,user08,33,,VLAN10,45,,"15,000","5,000",,,,0
PC01,PC,,,,08:30,18:30,user06,35,30,VLAN01,35,,"2,000","4,000",,,,0
PC02,PC,,,,12:00,22:00,user05,42,50,VLAN01,40,,"5,000","4,000",,,,0
PC03,PC,,,,10:00,20:00,user04,42,35,VLAN01,40,,"10,000","4,000",,,,0
PC04,PC,,,,07:00,17:30,user03,32,30,VLAN01,48,,"25,000","4,000",,,,0
Target,Global,,,,,,,,,,,,,,,,70,
ISP01,Internet,,,,,,,,,"VLAN08, VLAN10, VLAN11",,40,,,,,,0
ISP02,Internet,,,,,,,,,"VLAN09, VLAN10, VLAN11",,50,,,,,,0
VLAN01,Network,,,,,,,,,,,,,,5,,,
VLAN02,Network,,,,,,,,,,,,,,5,,,
VLAN03,Network,,,,,,,,,,,,,,5,,,
VLAN04,Network,,,,,,,,,,,,,,5,,,
VLAN05,Network,,,,,,,,,,,,,,1,,,
VLAN06,Network,,,,,,,,,,,,,,2,,,
VLAN07,Network,,,,,,,,,,,,,,5,,,
VLAN08,Network,,,,,,,,,,,,,,5,,,
VLAN09,Network,,,,,,,,,,,,,,5,,,
VLAN10,Network,,,,,,,,,,,,,,3,,,
VLAN11,Network,,,,,,,,,,,,,,3,,,
